account_id,account_name,event_id,event_name,total_deposits
51,Organizador 51,7439,Evento 7439,76
36,Organizador 36,5154,Evento 5154,45
51,Organizador 51,594,Evento 594,152
51,Organizador 51,246,Evento 246,61
26,Organizador 26,458,Evento 458,133
26,Organizador 26,1375,Evento 1375,1
51,Organizador 51,300,Evento 300,913
18,Organizador 18,10094,Evento 10094,1184
18,Organizador 18,1508,Evento 1508,2
36,Organizador 36,5872,Evento 5872,65
51,Organizador 51,561,Evento 561,278
26,Organizador 26,14740,Evento 14740,1
51,Organizador 51,780,Evento 780,342
51,Organizador 51,328,Evento 328,379
24,Organizador 24,14744,Evento 14744,4
18,Organizador 18,5875,Evento 5875,11
51,Organizador 51,5054,Evento 5054,113
26,Organizador 26,2420,Evento 2420,65
51,Organizador 51,5494,Evento 5494,80
51,Organizador 51,4729,Evento 4729,258
36,Organizador 36,1810,Evento 1810,3
18,Organizador 18,1608,Evento 1608,226
26,Organizador 26,1760,Evento 1760,2
51,Organizador 51,872,Evento 872,468
18,Organizador 18,14437,Evento 14437,511
26,Organizador 26,9139,Evento 9139,102
45,Organizador 45,197,Evento 197,425
26,Organizador 26,732,Evento 732,83
51,Organizador 51,619,Evento 619,166
18,Organizador 18,6642,Evento 6642,9
51,Organizador 51,422,Evento 422,389
18,Organizador 18,10212,Evento 10212,1388
26,Organizador 26,778,Evento 778,12
24,Organizador 24,244,Evento 244,131
51,Organizador 51,1050,Evento 1050,341
26,Organizador 26,521,Evento 521,9
51,Organizador 51,217,Evento 217,8
51,Organizador 51,395,Evento 395,145
36,Organizador 36,7205,Evento 7205,59
26,Organizador 26,2336,Evento 2336,9
51,Organizador 51,12762,Evento 12762,230
51,Organizador 51,494,Evento 494,198
51,Organizador 51,842,Evento 842,18
51,Organizador 51,327,Evento 327,892
36,Organizador 36,519,Evento 519,20
26,Organizador 26,5046,Evento 5046,153
18,Organizador 18,6337,Evento 6337,10
36,Organizador 36,8844,Evento 8844,39
51,Organizador 51,394,Evento 394,81
36,Organizador 36,14211,Evento 14211,4
51,Organizador 51,551,Evento 551,452
18,Organizador 18,15246,Evento 15246,1563
51,Organizador 51,6996,Evento 6996,22
26,Organizador 26,311,Evento 311,234
18,Organizador 18,4656,Evento 4656,585
51,Organizador 51,953,Evento 953,214
26,Organizador 26,186,Evento 186,33
51,Organizador 51,6447,Evento 6447,265
51,Organizador 51,2085,Evento 2085,179
51,Organizador 51,3282,Evento 3282,255
36,Organizador 36,14746,Evento 14746,6
36,Organizador 36,1432,Evento 1432,8
36,Organizador 36,14384,Evento 14384,4
51,Organizador 51,6698,Evento 6698,26
36,Organizador 36,14535,Evento 14535,28
26,Organizador 26,10842,Evento 10842,92
51,Organizador 51,318,Evento 318,677
51,Organizador 51,393,Evento 393,515
18,Organizador 18,550,Evento 550,39
18,Organizador 18,11407,Evento 11407,66
51,Organizador 51,10324,Evento 10324,404
51,Organizador 51,540,Evento 540,612
51,Organizador 51,10392,Evento 10392,142
18,Organizador 18,3181,Evento 3181,100
36,Organizador 36,7311,Evento 7311,74
51,Organizador 51,4801,Evento 4801,263
26,Organizador 26,11375,Evento 11375,12
26,Organizador 26,779,Evento 779,143
26,Organizador 26,6181,Evento 6181,1
18,Organizador 18,9558,Evento 9558,179
18,Organizador 18,15037,Evento 15037,6
51,Organizador 51,226,Evento 226,517
51,Organizador 51,432,Evento 432,185
26,Organizador 26,13477,Evento 13477,3
51,Organizador 51,1351,Evento 1351,188
51,Organizador 51,1518,Evento 1518,349
36,Organizador 36,1616,Evento 1616,9
24,Organizador 24,5181,Evento 5181,1
51,Organizador 51,9711,Evento 9711,114
18,Organizador 18,11360,Evento 11360,35
51,Organizador 51,5997,Evento 5997,24
51,Organizador 51,2095,Evento 2095,137
36,Organizador 36,10229,Evento 10229,32
26,Organizador 26,6018,Evento 6018,34
51,Organizador 51,565,Evento 565,319
18,Organizador 18,11029,Evento 11029,1
51,Organizador 51,4579,Evento 4579,159
51,Organizador 51,355,Evento 355,1599
51,Organizador 51,8852,Evento 8852,36
26,Organizador 26,14604,Evento 14604,15
26,Organizador 26,1754,Evento 1754,222
26,Organizador 26,6156,Evento 6156,1
26,Organizador 26,557,Evento 557,3
26,Organizador 26,10791,Evento 10791,44
51,Organizador 51,7316,Evento 7316,7
18,Organizador 18,9826,Evento 9826,358
36,Organizador 36,11784,Evento 11784,16
51,Organizador 51,3392,Evento 3392,108
51,Organizador 51,4779,Evento 4779,5
26,Organizador 26,13793,Evento 13793,13
51,Organizador 51,1878,Evento 1878,263
18,Organizador 18,13450,Evento 13450,8
18,Organizador 18,5953,Evento 5953,295
36,Organizador 36,10481,Evento 10481,40
51,Organizador 51,7438,Evento 7438,1
51,Organizador 51,533,Evento 533,446
18,Organizador 18,6778,Evento 6778,1410
24,Organizador 24,1414,Evento 1414,2
26,Organizador 26,6424,Evento 6424,9
26,Organizador 26,483,Evento 483,2
18,Organizador 18,8832,Evento 8832,2725
26,Organizador 26,369,Evento 369,2
18,Organizador 18,14752,Evento 14752,11
51,Organizador 51,347,Evento 347,648
26,Organizador 26,1932,Evento 1932,131
51,Organizador 51,3238,Evento 3238,11
26,Organizador 26,13511,Evento 13511,1
26,Organizador 26,10878,Evento 10878,54
26,Organizador 26,559,Evento 559,11
36,Organizador 36,15606,Evento 15606,3
36,Organizador 36,4045,Evento 4045,3
45,Organizador 45,298,Evento 298,157
51,Organizador 51,2857,Evento 2857,256
51,Organizador 51,2445,Evento 2445,105
26,Organizador 26,329,Evento 329,134
51,Organizador 51,1740,Evento 1740,174
26,Organizador 26,12619,Evento 12619,6
26,Organizador 26,461,Evento 461,3258
51,Organizador 51,2321,Evento 2321,182
26,Organizador 26,489,Evento 489,1
26,Organizador 26,593,Evento 593,1
51,Organizador 51,1570,Evento 1570,208
51,Organizador 51,431,Evento 431,532
51,Organizador 51,601,Evento 601,425
36,Organizador 36,7001,Evento 7001,168
18,Organizador 18,5487,Evento 5487,9
51,Organizador 51,15229,Evento 15229,133
26,Organizador 26,428,Evento 428,58
36,Organizador 36,15412,Evento 15412,27
51,Organizador 51,243,Evento 243,85
26,Organizador 26,1065,Evento 1065,6
51,Organizador 51,359,Evento 359,20
26,Organizador 26,464,Evento 464,59
18,Organizador 18,8382,Evento 8382,765
51,Organizador 51,310,Evento 310,162
26,Organizador 26,1047,Evento 1047,8
51,Organizador 51,293,Evento 293,20
51,Organizador 51,396,Evento 396,334
18,Organizador 18,11816,Evento 11816,3
18,Organizador 18,9309,Evento 9309,909
51,Organizador 51,320,Evento 320,399
18,Organizador 18,1645,Evento 1645,35
18,Organizador 18,9890,Evento 9890,32
51,Organizador 51,9003,Evento 9003,330
51,Organizador 51,507,Evento 507,223
51,Organizador 51,11125,Evento 11125,2
26,Organizador 26,490,Evento 490,44
36,Organizador 36,11648,Evento 11648,1
18,Organizador 18,6379,Evento 6379,53
51,Organizador 51,383,Evento 383,10
