account_id,account_name,event_id,event_name,total_deposits
51,Organizador 51,7439,Evento 7439,0
36,Organizador 36,5154,Evento 5154,360
51,Organizador 51,594,Evento 594,300
51,Organizador 51,246,Evento 246,0
26,Organizador 26,458,Evento 458,0
26,Organizador 26,1375,Evento 1375,0
51,Organizador 51,300,Evento 300,22200
18,Organizador 18,10094,Evento 10094,2280000
18,Organizador 18,1508,Evento 1508,0
36,Organizador 36,5872,Evento 5872,0
51,Organizador 51,561,Evento 561,0
26,Organizador 26,14740,Evento 14740,0
51,Organizador 51,780,Evento 780,0
51,Organizador 51,328,Evento 328,0
24,Organizador 24,14744,Evento 14744,0
18,Organizador 18,5875,Evento 5875,250000
51,Organizador 51,5054,Evento 5054,0
26,Organizador 26,2420,Evento 2420,0
51,Organizador 51,5494,Evento 5494,0
51,Organizador 51,4729,Evento 4729,0
36,Organizador 36,1810,Evento 1810,0
18,Organizador 18,1608,Evento 1608,50200
26,Organizador 26,1760,Evento 1760,0
51,Organizador 51,872,Evento 872,0
18,Organizador 18,14437,Evento 14437,0
26,Organizador 26,9139,Evento 9139,15250
45,Organizador 45,197,Evento 197,154698
26,Organizador 26,732,Evento 732,0
51,Organizador 51,619,Evento 619,0
18,Organizador 18,6642,Evento 6642,0
51,Organizador 51,422,Evento 422,0
18,Organizador 18,10212,Evento 10212,0
26,Organizador 26,778,Evento 778,0
24,Organizador 24,244,Evento 244,0
51,Organizador 51,1050,Evento 1050,0
26,Organizador 26,521,Evento 521,0
51,Organizador 51,217,Evento 217,0
51,Organizador 51,395,Evento 395,0
36,Organizador 36,7205,Evento 7205,0
26,Organizador 26,2336,Evento 2336,0
51,Organizador 51,12762,Evento 12762,400
51,Organizador 51,494,Evento 494,2400
51,Organizador 51,842,Evento 842,0
51,Organizador 51,327,Evento 327,0
36,Organizador 36,519,Evento 519,0
26,Organizador 26,5046,Evento 5046,8800
18,Organizador 18,6337,Evento 6337,0
36,Organizador 36,8844,Evento 8844,6
51,Organizador 51,394,Evento 394,0
36,Organizador 36,14211,Evento 14211,0
51,Organizador 51,551,Evento 551,0
18,Organizador 18,15246,Evento 15246,0
51,Organizador 51,6996,Evento 6996,0
26,Organizador 26,311,Evento 311,200
18,Organizador 18,4656,Evento 4656,0
51,Organizador 51,953,Evento 953,0
26,Organizador 26,186,Evento 186,0
51,Organizador 51,6447,Evento 6447,400
51,Organizador 51,2085,Evento 2085,0
51,Organizador 51,3282,Evento 3282,0
36,Organizador 36,14746,Evento 14746,0
36,Organizador 36,1432,Evento 1432,0
36,Organizador 36,14384,Evento 14384,0
51,Organizador 51,6698,Evento 6698,0
36,Organizador 36,14535,Evento 14535,0
26,Organizador 26,10842,Evento 10842,0
51,Organizador 51,318,Evento 318,0
51,Organizador 51,393,Evento 393,0
18,Organizador 18,550,Evento 550,0
18,Organizador 18,11407,Evento 11407,0
51,Organizador 51,10324,Evento 10324,0
51,Organizador 51,540,Evento 540,0
51,Organizador 51,10392,Evento 10392,200
18,Organizador 18,3181,Evento 3181,130879
36,Organizador 36,7311,Evento 7311,0
51,Organizador 51,4801,Evento 4801,600
26,Organizador 26,11375,Evento 11375,0
26,Organizador 26,779,Evento 779,0
26,Organizador 26,6181,Evento 6181,0
18,Organizador 18,9558,Evento 9558,0
18,Organizador 18,15037,Evento 15037,0
51,Organizador 51,226,Evento 226,14950
51,Organizador 51,432,Evento 432,0
26,Organizador 26,13477,Evento 13477,0
51,Organizador 51,1351,Evento 1351,0
51,Organizador 51,1518,Evento 1518,74350
36,Organizador 36,1616,Evento 1616,0
24,Organizador 24,5181,Evento 5181,0
51,Organizador 51,9711,Evento 9711,0
18,Organizador 18,11360,Evento 11360,0
51,Organizador 51,5997,Evento 5997,0
51,Organizador 51,2095,Evento 2095,0
36,Organizador 36,10229,Evento 10229,109
26,Organizador 26,6018,Evento 6018,0
51,Organizador 51,565,Evento 565,0
18,Organizador 18,11029,Evento 11029,0
51,Organizador 51,4579,Evento 4579,0
51,Organizador 51,355,Evento 355,23400
51,Organizador 51,8852,Evento 8852,50
26,Organizador 26,14604,Evento 14604,0
26,Organizador 26,1754,Evento 1754,260
26,Organizador 26,6156,Evento 6156,0
26,Organizador 26,557,Evento 557,0
26,Organizador 26,10791,Evento 10791,0
51,Organizador 51,7316,Evento 7316,0
18,Organizador 18,9826,Evento 9826,0
36,Organizador 36,11784,Evento 11784,100
51,Organizador 51,3392,Evento 3392,0
51,Organizador 51,4779,Evento 4779,0
26,Organizador 26,13793,Evento 13793,0
51,Organizador 51,1878,Evento 1878,83000
18,Organizador 18,13450,Evento 13450,150
18,Organizador 18,5953,Evento 5953,0
36,Organizador 36,10481,Evento 10481,0
51,Organizador 51,7438,Evento 7438,0
51,Organizador 51,533,Evento 533,0
18,Organizador 18,6778,Evento 6778,0
24,Organizador 24,1414,Evento 1414,0
26,Organizador 26,6424,Evento 6424,0
26,Organizador 26,483,Evento 483,0
18,Organizador 18,8832,Evento 8832,0
26,Organizador 26,369,Evento 369,0
18,Organizador 18,14752,Evento 14752,0
51,Organizador 51,347,Evento 347,0
26,Organizador 26,1932,Evento 1932,0
51,Organizador 51,3238,Evento 3238,0
26,Organizador 26,13511,Evento 13511,0
26,Organizador 26,10878,Evento 10878,0
26,Organizador 26,559,Evento 559,0
36,Organizador 36,15606,Evento 15606,0
36,Organizador 36,4045,Evento 4045,45
45,Organizador 45,298,Evento 298,0
51,Organizador 51,2857,Evento 2857,8600
51,Organizador 51,2445,Evento 2445,0
26,Organizador 26,329,Evento 329,0
51,Organizador 51,1740,Evento 1740,0
26,Organizador 26,12619,Evento 12619,25
26,Organizador 26,461,Evento 461,63031
51,Organizador 51,2321,Evento 2321,0
26,Organizador 26,489,Evento 489,0
26,Organizador 26,593,Evento 593,0
51,Organizador 51,1570,Evento 1570,87800
51,Organizador 51,431,Evento 431,0
51,Organizador 51,601,Evento 601,18350
36,Organizador 36,7001,Evento 7001,0
18,Organizador 18,5487,Evento 5487,0
51,Organizador 51,15229,Evento 15229,0
26,Organizador 26,428,Evento 428,0
36,Organizador 36,15412,Evento 15412,0
51,Organizador 51,243,Evento 243,0
26,Organizador 26,1065,Evento 1065,0
51,Organizador 51,359,Evento 359,0
26,Organizador 26,464,Evento 464,50
18,Organizador 18,8382,Evento 8382,0
51,Organizador 51,310,Evento 310,0
26,Organizador 26,1047,Evento 1047,0
51,Organizador 51,293,Evento 293,0
51,Organizador 51,396,Evento 396,0
18,Organizador 18,11816,Evento 11816,0
18,Organizador 18,9309,Evento 9309,0
51,Organizador 51,320,Evento 320,0
18,Organizador 18,1645,Evento 1645,212
18,Organizador 18,9890,Evento 9890,0
51,Organizador 51,9003,Evento 9003,0
51,Organizador 51,507,Evento 507,150
51,Organizador 51,11125,Evento 11125,0
26,Organizador 26,490,Evento 490,0
36,Organizador 36,11648,Evento 11648,0
18,Organizador 18,6379,Evento 6379,0
51,Organizador 51,383,Evento 383,0
51,Organizador 51,581,Evento 581,0
18,Organizador 18,15540,Evento 15540,0
26,Organizador 26,664,Evento 664,0
51,Organizador 51,392,Evento 392,0
45,Organizador 45,299,Evento 299,7840
26,Organizador 26,8270,Evento 8270,0
24,Organizador 24,267,Evento 267,134000
36,Organizador 36,11965,Evento 11965,90
26,Organizador 26,9144,Evento 9144,0
36,Organizador 36,9527,Evento 9527,0
36,Organizador 36,10478,Evento 10478,0
51,Organizador 51,268,Evento 268,0
18,Organizador 18,13801,Evento 13801,4342
36,Organizador 36,1938,Evento 1938,0
51,Organizador 51,349,Evento 349,0
18,Organizador 18,4187,Evento 4187,0
51,Organizador 51,5248,Evento 5248,400
36,Organizador 36,8417,Evento 8417,4500
36,Organizador 36,15623,Evento 15623,0
18,Organizador 18,12058,Evento 12058,0
36,Organizador 36,5202,Evento 5202,0
18,Organizador 18,7116,Evento 7116,200
51,Organizador 51,430,Evento 430,19600
18,Organizador 18,1500,Evento 1500,0
36,Organizador 36,280,Evento 280,80
26,Organizador 26,160,Evento 160,
36,Organizador 36,15526,Evento 15526,0
26,Organizador 26,10512,Evento 10512,4955
26,Organizador 26,13769,Evento 13769,3000
51,Organizador 51,10353,Evento 10353,0
24,Organizador 24,12647,Evento 12647,1000
51,Organizador 51,272,Evento 272,0
24,Organizador 24,2029,Evento 2029,0
26,Organizador 26,8155,Evento 8155,0
36,Organizador 36,4392,Evento 4392,0
18,Organizador 18,12951,Evento 12951,0
18,Organizador 18,3489,Evento 3489,0
26,Organizador 26,13131,Evento 13131,0
18,Organizador 18,15063,Evento 15063,0
51,Organizador 51,452,Evento 452,0
51,Organizador 51,562,Evento 562,0
18,Organizador 18,9611,Evento 9611,0
26,Organizador 26,12734,Evento 12734,0
36,Organizador 36,10198,Evento 10198,0
