FECHA,INCIDENTE,CANT_INCIDENTES
Apr 1 2014,ABEJAS,511
Apr 1 2014,ABORTO,12
Apr 1 2014,ABRIR DOMICILIO,116
Apr 1 2014,ACCIDENTE CEREBRO VASCULAR,3461
Apr 1 2014,ACCIDENTE TRANSITO CON HERIDOS/MUERTOS,15251
Apr 1 2014,ACCIDENTE TRANSITO SIMPLE,17215
Apr 1 2014,ACCION SUBVERSIVA,2
Apr 1 2014,ACTOS CONTRA EL AMBIENTE,1642
Apr 1 2014,ALARMA,1523
Apr 1 2014,ALTERACION DEL ORDEN PUBLICO,17710
Apr 1 2014,AMENAZA DE RUINA,37
Apr 1 2014,ANIMAL ATRAPADO,239
Apr 1 2014,ANIMAL MALTRATADO,901
Apr 1 2014,ANIMAL PELIGROSO,1034
Apr 1 2014,ATRACO / HURTO EN PROCESO,9513
Apr 1 2014,CAIDA DE ALTURA,4042
Apr 1 2014,DAÑOS EN PROPIEDAD PUBLICA/PRIVADA,2141
Apr 1 2014,DAÑOS EN SERVICIOS PUBLICOS,4017
Apr 1 2014,DELINCUENTE CAPTURADO POR CIVIL,1629
Apr 1 2014,DESLIZAMIENTO,12
Apr 1 2014,DISPAROS,1183
Apr 1 2014,DOLOR TORACICO,1090
Apr 1 2014,ELECTROCUCION / RESCATE,30
Apr 1 2014,ELEMENTO CAIDO Y/O EN PELIGRO DE CAER.,413
Apr 1 2014,EMBRIAGUEZ,3164
Apr 1 2014,ENFERMO,3978
Apr 1 2014,EVENTO RESPIRATORIO,3965
Apr 1 2014,EXPLOSION,179
Apr 1 2014,EXTRAVIADOS / DESAPARECIDOS,1906
Apr 1 2014,FUGA DE GAS NATURAL O PROPANO,1029
Apr 1 2014,FUGA DE PRESOS,110
Apr 1 2014,HABITANTE DE LA CALLE,1915
Apr 1 2014,HALLAZGO DE EXPLOSIVOS,134
Apr 1 2014,HURTO EFECTUADO,3058
Apr 1 2014,INCENDIO CON MATPEL,21
Apr 1 2014,INCENDIO ESTRUCTURAL,1039
Apr 1 2014,INCENDIO FORESTAL,725
Apr 1 2014,INCENDIO VEHICULAR,141
Apr 1 2014,INCIDENTE RESCATE ACUATICO,22
Apr 1 2014,INCONSCIENTE/PARO CARDIORRESPIRATORIO,5271
Apr 1 2014,INDEBIDO USO DE ESTABLECIMIENTO,310
Apr 1 2014,INFORMACION CONFIDENCIAL,1393
Apr 1 2014,INTENTO DE SUICIDIO,639
Apr 1 2014,INTENTO/VIOLACION DE DOMICILIO,1167
Apr 1 2014,INTOXICACION,784
Apr 1 2014,INUNDACION,209
Apr 1 2014,INVASION DE TERRENO O EDIFICIO,153
Apr 1 2014,LESIONES PERSONALES,6551
Apr 1 2014,MALTRATO,1998
Apr 1 2014,MANIFESTACION / MOTIN,420
Apr 1 2014,MATPEL,201
Apr 1 2014,MENOR EN ESTABLECIMIENTO MAYORES,101
Apr 1 2014,MENOR O PERSONA ABANDONADA,441
Apr 1 2014,MOVILIDAD / SEÑALIZACION,5438
Apr 1 2014,MUERTE NATURAL,400
Apr 1 2014,MUERTO,171
Apr 1 2014,NARCOTICOS,4952
Apr 1 2014,PANDILLAS JUVENILES,332
Apr 1 2014,PATOLOGIA GINECOBSTETRICA,1159
Apr 1 2014,PERSONA O VEHICULO SOSPECHOSO,10507
Apr 1 2014,PERSONA PIDIENDO AUXILIO,1147
Apr 1 2014,PERSONA TENDIDA EN LA VIA,993
Apr 1 2014,PORTE ILEGAL DE ARMAS,2010
Apr 1 2014,QUEMADURAS,72
Apr 1 2014,QUEMAS PROHIBIDAS,785
Apr 1 2014,RAPTO / SECUESTRO,669
Apr 1 2014,REMISION DINEROS / ACOMPAÑAMIENTO,5362
Apr 1 2014,RESCATES,117
Apr 1 2014,RESCATES MONTAÑA,6
Apr 1 2014,RESTOS HUMANOS,11
Apr 1 2014,RIÑA,37974
Apr 1 2014,SINTOMAS GASTROINTESTINALES,2025
Apr 1 2014,SOLICITUD APOYO / DESACATO,1209
Apr 1 2014,SUPLANTACION DE PROFESION U OFICIO,378
Apr 1 2014,TRASTORNO MENTAL,2108
Apr 1 2014,VEHICULO ABANDONADO/MAL ESTACIONADO,7380
Apr 1 2014,VEHICULO HURTADO,1030
Apr 1 2014,VEHICULO PELIGROSO,3590
Apr 1 2014,VEHICULO RECUPERADO,96
Apr 1 2014,VENTA O CONSUMO ALCOHOL U OTRO EN MENOR,3070
Apr 1 2014,VERIFICAR SITUACION,15739
Apr 1 2014,VIOLENCIA SEXUAL,917
Apr 1 2015,ABEJAS,328
Apr 1 2015,ABORTO,16
Apr 1 2015,ABRIR DOMICILIO,95
Apr 1 2015,ACCIDENTE CEREBRO VASCULAR,3402
Apr 1 2015,ACCIDENTE TRANSITO CON HERIDOS/MUERTOS,16379
Apr 1 2015,ACCIDENTE TRANSITO SIMPLE,17896
Apr 1 2015,ACCION SUBVERSIVA,1
Apr 1 2015,ACTOS CONTRA EL AMBIENTE,1769
Apr 1 2015,ALARMA,1971
Apr 1 2015,ALTERACION DEL ORDEN PUBLICO,20200
Apr 1 2015,AMENAZA DE RUINA,43
Apr 1 2015,ANIMAL ATRAPADO,321
Apr 1 2015,ANIMAL MALTRATADO,1241
Apr 1 2015,ANIMAL PELIGROSO,934
Apr 1 2015,ATRACO / HURTO EN PROCESO,9927
Apr 1 2015,CAIDA DE ALTURA,4343
Apr 1 2015,CONVULSION,56
Apr 1 2015,DAÑOS EN PROPIEDAD PUBLICA/PRIVADA,2405
Apr 1 2015,DAÑOS EN SERVICIOS PUBLICOS,2569
Apr 1 2015,DELINCUENTE CAPTURADO POR CIVIL,1995
Apr 1 2015,DESLIZAMIENTO,6
Apr 1 2015,DISPAROS,1253
Apr 1 2015,DOLOR TORACICO,1099
Apr 1 2015,ELECTROCUCION / RESCATE,21
Apr 1 2015,ELEMENTO CAIDO Y/O EN PELIGRO DE CAER.,564
Apr 1 2015,EMBRIAGUEZ,3492
