FECHA;INCIDENTE;CANT_INCIDENTES
Apr 1 2014;RESTOS HUMANOS;11
Apr 1 2014;ABORTO;12
Apr 1 2014;DESLIZAMIENTO;12
Apr 1 2014;INCENDIO CON MATPEL;21
Apr 1 2014;INCIDENTE RESCATE ACUÁTICO;22
Apr 1 2014;ELECTROCUCIÓN / RESCATE;30
Apr 1 2014;AMENAZA DE RUINA;37
Apr 1 2014;QUEMADURAS;72
Apr 1 2014;VEHÍCULO RECUPERADO;96
Apr 1 2014;MENOR EN ESTABLECIMIENTO MAYORES;101
Apr 1 2014;FUGA DE PRESOS;110
Apr 1 2014;HALLAZGO DE EXPLOSIVOS;134
Apr 1 2014;EXPLOSIÓN;179
Apr 1 2015;ACCIÓN SUBVERSIVA;1
Apr 1 2015;SISMO;1
Apr 1 2015;SANGRADO VAGINAL;4
Apr 1 2015;DESLIZAMIENTO;6
Apr 1 2015;PREVENCIÓN;8
Apr 1 2015;INCIDENTE RESCATE ACUÁTICO;9
Apr 1 2015;RESTOS HUMANOS;9
Apr 1 2015;RESCATES MONTAÑA;10
Apr 1 2015;ABORTO;16
Apr 1 2015;ELECTROCUCIÓN / RESCATE;21
Apr 1 2015;INCENDIO CON MATPEL;38
Apr 1 2015;AMENAZA DE RUINA;43
Apr 1 2015;QUEMADURAS;57
Apr 1 2015;VEHÍCULO RECUPERADO;85
Apr 1 2015;EXPLOSIÓN;98
Apr 1 2015;FUGA DE PRESOS;103
Apr 1 2015;MENOR EN ESTABLECIMIENTO MAYORES;118
Apr 1 2015;HALLAZGO DE EXPLOSIVOS;126
Apr 1 2016;DESARME;1
Apr 1 2016;ABORTO;2
Apr 1 2016;SISMO;3
Apr 1 2016;PREVENCIÓN;4
Apr 1 2016;RESCATES MONTAÑA;4
Apr 1 2016;ACCIÓN SUBVERSIVA;5
Apr 1 2016;RESTOS HUMANOS;15
Apr 1 2016;INCENDIO CON MATPEL;39
Apr 1 2016;INCIDENTE RESCATE ACUÁTICO;40
Apr 1 2016;ELECTROCUCIÓN / RESCATE;57
Apr 1 2016;DESLIZAMIENTO;61
Apr 1 2016;SANGRADO VAGINAL;94
Apr 1 2016;VEHÍCULO RECUPERADO;103
Apr 1 2016;FUGA DE PRESOS;109
Apr 1 2016;QUEMADURAS;111
Apr 1 2016;AMENAZA DE RUINA;121
Apr 1 2016;EXPLOSIÓN;140
Apr 1 2016;MENOR EN ESTABLECIMIENTO MAYORES;140
Apr 1 2016;HALLAZGO DE EXPLOSIVOS;141
Apr 1 2017;ACCIÓN SUBVERSIVA;1
Apr 1 2017;DESARME;1
Apr 1 2017;SISMO;3
Apr 1 2017;RESCATES MONTAÑA;5
Apr 1 2017;ABORTO;7
Apr 1 2017;RESTOS HUMANOS;12
Apr 1 2017;INCENDIO CON MATPEL;13
Apr 1 2017;INCIDENTE RESCATE ACUÁTICO;17
Apr 1 2017;ELECTROCUCIÓN / RESCATE;26
Apr 1 2017;DESLIZAMIENTO;31
Apr 1 2017;QUEMADURAS;51
Apr 1 2017;AMENAZA DE RUINA;66
Apr 1 2017;SANGRADO VAGINAL;68
Apr 1 2017;EXPLOSIÓN;71
Apr 1 2017;VEHÍCULO RECUPERADO;98
Apr 1 2017;MENOR EN ESTABLECIMIENTO MAYORES;120
Apr 1 2017;FUGA DE PRESOS;121
Apr 1 2017;HALLAZGO DE EXPLOSIVOS;130
Apr 1 2018;ABORTO;1
Apr 1 2018;INCENDIO EN AERONAVE;1
Apr 1 2018;RESCATES MONTAÑA;3
Apr 1 2018;RESTOS HUMANOS;14
Apr 1 2018;INCENDIO CON MATPEL;27
Apr 1 2018;ELECTROCUCIÓN / RESCATE;31
Apr 1 2018;INCIDENTE RESCATE ACUÁTICO;42
Apr 1 2018;QUEMADURAS;47
Apr 1 2018;SANGRADO VAGINAL;48
Apr 1 2018;EXPLOSIÓN;61
Apr 1 2018;HALLAZGO DE EXPLOSIVOS;85
Apr 1 2018;AMENAZA DE RUINA;106
Apr 1 2018;MENOR EN ESTABLECIMIENTO MAYORES;106
Apr 1 2018;DESLIZAMIENTO;112
Apr 1 2018;VEHÍCULO RECUPERADO;127
Apr 1 2018;FUGA DE PRESOS;154
Apr 1 2019;DESARME;1
Apr 1 2019;INCENDIO EN AERONAVE;1
Apr 1 2019;ABORTO;3
Apr 1 2019;ACCIÓN SUBVERSIVA;5
Apr 1 2019;INCENDIO CON MATPEL;6
Apr 1 2019;RESTOS HUMANOS;15
Apr 1 2019;ELECTROCUCIÓN / RESCATE;23
Apr 1 2019;EXPLOSIÓN;31
Apr 1 2019;INCIDENTE RESCATE ACUÁTICO;34
Apr 1 2019;QUEMADURAS;39
Apr 1 2019;RESCATES MONTAÑA;39
Apr 1 2019;SANGRADO VAGINAL;60
Apr 1 2019;DESLIZAMIENTO;91
Apr 1 2019;MENOR EN ESTABLECIMIENTO MAYORES;93
Apr 1 2019;HALLAZGO DE EXPLOSIVOS;94
Apr 1 2019;AMENAZA DE RUINA;97
Apr 1 2019;VEHÍCULO RECUPERADO;101
Apr 1 2019;FUGA DE PRESOS;111
Aug 1 2014;ACCIÓN SUBVERSIVA;1
Aug 1 2014;DESARME;1
Aug 1 2014;RESCATES MONTAÑA;5
Aug 1 2014;ABORTO;7
Aug 1 2014;RESTOS HUMANOS;11
Aug 1 2014;DESLIZAMIENTO;18
Aug 1 2014;INCIDENTE RESCATE ACUÁTICO;22
Aug 1 2014;INCENDIO CON MATPEL;30
Aug 1 2014;AMENAZA DE RUINA;38
Aug 1 2014;ELECTROCUCIÓN / RESCATE;43
Aug 1 2014;QUEMADURAS;77
Aug 1 2014;EXPLOSIÓN;93
Aug 1 2014;VEHÍCULO RECUPERADO;101
Aug 1 2014;FUGA DE PRESOS;108
