FECHA,LOCALIDAD,CANT_INCIDENTES
Apr 1 2014,ANTONIO NARINO,4357
Apr 1 2014,BARRIOS UNIDOS,8145
Apr 1 2014,BOSA,14641
Apr 1 2014,CANDELARIA,1584
Apr 1 2014,CHAPINERO,11802
Apr 1 2014,CIUDAD BOLIVAR,14267
Apr 1 2014,ENGATIVA,24897
Apr 1 2014,FONTIBON,11250
Apr 1 2014,KENNEDY,27835
Apr 1 2014,LOS MARTIRES,6340
Apr 1 2014,PUENTE ARANDA,10544
Apr 1 2014,RAFAEL URIBE URIBE,11762
Apr 1 2014,SAN CRISTOBAL,11378
Apr 1 2014,SANTA FE,7439
Apr 1 2014,SIN LOCALIZACION,2105
Apr 1 2014,SUBA,26956
Apr 1 2014,TEUSAQUILLO,8161
Apr 1 2014,TUNJUELITO,6077
Apr 1 2014,USAQUEN,16425
Apr 1 2014,USME,8430
Apr 1 2015,ANTONIO NARINO,4898
Apr 1 2015,BARRIOS UNIDOS,8119
Apr 1 2015,BOSA,15734
Apr 1 2015,CANDELARIA,1605
Apr 1 2015,CHAPINERO,11626
Apr 1 2015,CIUDAD BOLIVAR,16346
Apr 1 2015,ENGATIVA,25137
Apr 1 2015,FONTIBON,11785
Apr 1 2015,KENNEDY,30711
Apr 1 2015,LOS MARTIRES,6472
Apr 1 2015,PUENTE ARANDA,10771
Apr 1 2015,RAFAEL URIBE URIBE,12633
Apr 1 2015,SAN CRISTOBAL,13264
Apr 1 2015,SANTA FE,7515
Apr 1 2015,SIN LOCALIZACION,957
Apr 1 2015,SUBA,29319
Apr 1 2015,TEUSAQUILLO,8517
Apr 1 2015,TUNJUELITO,6907
Apr 1 2015,USAQUEN,17490
Apr 1 2015,USME,8401
Apr 1 2016,ANTONIO NARINO,5615
Apr 1 2016,BARRIOS UNIDOS,10215
Apr 1 2016,BOSA,18551
Apr 1 2016,CANDELARIA,2227
Apr 1 2016,CHAPINERO,14528
Apr 1 2016,CIUDAD BOLIVAR,19047
Apr 1 2016,ENGATIVA,30129
Apr 1 2016,FONTIBON,14075
Apr 1 2016,KENNEDY,37022
Apr 1 2016,LOS MARTIRES,7657
Apr 1 2016,PUENTE ARANDA,13289
Apr 1 2016,RAFAEL URIBE URIBE,14526
Apr 1 2016,SAN CRISTOBAL,14392
Apr 1 2016,SANTA FE,10265
