DIRECCION_SECCIONAL,TIPO_MPUESTO,VALOR
ADUANAS BARRANQUILLA,RENTA CUOTAS, 0  
ADUANAS BARRANQUILLA,IVA DECLARACIONES, 0  
ADUANAS BARRANQUILLA,RETENCIONES, 0  
ADUANAS BARRANQUILLA,EXTERNOS, 1.871.969 
ADUANAS BARRANQUILLA,SEGURIDAD DEMOCRATICA, 0  
IMPUESTOS BOGOTA,PATRIMONIO, 8.671 
IMPUESTOS BOGOTA,RIQUEZA, 233.739 
ADUANAS BARRANQUILLA,PRECIOS DE TRANSFERENCIA, 0  
ADUANAS BARRANQUILLA,GMF, 0  
ADUANAS BARRANQUILLA,CONSUMO, 0  
ADUANAS BARRANQUILLA,GASOLINA Y ACPM, 0  
ADUANAS BARRANQUILLA,CREE RETENCIONES, 0  
ADUANAS BARRANQUILLA,CREE DECLARACIONES, 0  
ADUANAS BARRANQUILLA,AL CARBONO, 0  
ADUANAS BARRANQUILLA,POR CLASIFICAR, 0  
ADUANAS BOGOTA,RENTA CUOTAS, 0  
ADUANAS BOGOTA,IVA DECLARACIONES, 0  
ADUANAS BOGOTA,RETENCIONES, 0  
ADUANAS BOGOTA,EXTERNOS, 5.085.152 
ADUANAS BOGOTA,SEGURIDAD DEMOCRATICA, 0  
MEDELLIN,PATRIMONIO, 2.130 
MEDELLIN,RIQUEZA, 66.023 
ADUANAS BOGOTA,PRECIOS DE TRANSFERENCIA, 0  
ADUANAS BOGOTA,GMF, 0  
ADUANAS BOGOTA,CONSUMO, 0  
ADUANAS BOGOTA,GASOLINA Y ACPM, 0  
ADUANAS BOGOTA,CREE RETENCIONES, 0  
ADUANAS BOGOTA,CREE DECLARACIONES, 0  
ADUANAS BOGOTA,AL CARBONO, 0  
ADUANAS BOGOTA,POR CLASIFICAR, 0  
ADUANAS CALI,RENTA CUOTAS, 0  
ADUANAS CALI,IVA DECLARACIONES, 0  
ADUANAS CALI,RETENCIONES, 0  
ADUANAS CALI,EXTERNOS, 942.325 
ADUANAS CALI,SEGURIDAD DEMOCRATICA, 0  
GRANDES CONTRIBUYENTES BOGOTA,PATRIMONIO, 1.266 
CALI,RIQUEZA, 33.104 
ADUANAS CALI,PRECIOS DE TRANSFERENCIA, 0  
ADUANAS CALI,GMF, 0  
ADUANAS CALI,CONSUMO, 0  
ADUANAS CALI,GASOLINA Y ACPM, 0  
ADUANAS CALI,CREE RETENCIONES, 0  
ADUANAS CALI,CREE DECLARACIONES, 0  
ADUANAS CALI,AL CARBONO, 0  
ADUANAS CALI,POR CLASIFICAR, 0  
ADUANAS DE CARTAGENA,RENTA CUOTAS, 0  
ADUANAS DE CARTAGENA,IVA DECLARACIONES, 0  
ADUANAS DE CARTAGENA,RETENCIONES, 0  
ADUANAS DE CARTAGENA,EXTERNOS, 5.456.675 
ADUANAS DE CARTAGENA,SEGURIDAD DEMOCRATICA, 0  
POPAYAN,PATRIMONIO, 847 
GRANDES CONTRIBUYENTES BOGOTA,RIQUEZA, 21.435 
ADUANAS DE CARTAGENA,PRECIOS DE TRANSFERENCIA, 0  
ADUANAS DE CARTAGENA,GMF, 0  
ADUANAS DE CARTAGENA,CONSUMO, 0  
ADUANAS DE CARTAGENA,GASOLINA Y ACPM, 0  
ADUANAS DE CARTAGENA,CREE RETENCIONES, 0  
ADUANAS DE CARTAGENA,CREE DECLARACIONES, 0  
ADUANAS DE CARTAGENA,AL CARBONO, 0  
ADUANAS DE CARTAGENA,POR CLASIFICAR, 0  
ADUANAS DE CUCUTA,RENTA CUOTAS, 0  
ADUANAS DE CUCUTA,IVA DECLARACIONES, 0  
ADUANAS DE CUCUTA,RETENCIONES, 0  
ADUANAS DE CUCUTA,EXTERNOS, 20.399 
ADUANAS DE CUCUTA,SEGURIDAD DEMOCRATICA, 0  
CALI,PATRIMONIO, 789 
BARRANQUILLA,RIQUEZA, 18.604 
ADUANAS DE CUCUTA,PRECIOS DE TRANSFERENCIA, 0  
ADUANAS DE CUCUTA,GMF, 0  
ADUANAS DE CUCUTA,CONSUMO, 0  
ADUANAS DE CUCUTA,GASOLINA Y ACPM, 0  
ADUANAS DE CUCUTA,CREE RETENCIONES, 0  
ADUANAS DE CUCUTA,CREE DECLARACIONES, 0  
ADUANAS DE CUCUTA,AL CARBONO, 0  
ADUANAS DE CUCUTA,POR CLASIFICAR, 0  
ADUANAS DE MEDELLIN,RENTA CUOTAS, 0  
ADUANAS DE MEDELLIN,IVA DECLARACIONES, 0  
ADUANAS DE MEDELLIN,RETENCIONES, 0  
ADUANAS DE MEDELLIN,EXTERNOS, 818.075 
ADUANAS DE MEDELLIN,SEGURIDAD DEMOCRATICA, 0  
CARTAGENA,PATRIMONIO, 782 
