account_id,event_id,total_deposits
51,7439,0
36,5154,360
51,594,300
51,246,0
26,458,0
26,1375,0
51,300,22200
18,10094,2280000
18,1508,0
36,5872,0
51,561,0
26,14740,0
51,780,0
51,328,0
24,14744,0
18,5875,250000
51,5054,0
26,2420,0
51,5494,0
51,4729,0
36,1810,0
18,1608,50200
26,1760,0
51,872,0
18,14437,0
26,9139,15250
45,197,154698
26,732,0
51,619,0
18,6642,0
51,422,0
18,10212,0
26,778,0
24,244,0
51,1050,0
26,521,0
51,217,0
51,395,0
36,7205,0
26,2336,0
51,12762,400
51,494,2400
51,842,0
51,327,0
36,519,0
26,5046,8800
18,6337,0
36,8844,6
51,394,0
36,14211,0
51,551,0
18,15246,0
51,6996,0
26,311,200
18,4656,0
51,953,0
26,186,0
51,6447,400
51,2085,0
51,3282,0
36,14746,0
36,1432,0
36,14384,0
51,6698,0
36,14535,0
26,10842,0
51,318,0
51,393,0
18,550,0
18,11407,0
51,10324,0
51,540,0
51,10392,200
18,3181,130879
36,7311,0
51,4801,600
26,11375,0
26,779,0
26,6181,0
18,9558,0
18,15037,0
51,226,14950
51,432,0
26,13477,0
51,1351,0
51,1518,74350
36,1616,0
24,5181,0
51,9711,0
18,11360,0
51,5997,0
51,2095,0
36,10229,109
26,6018,0
51,565,0
18,11029,0
51,4579,0
51,355,23400
51,8852,50
26,14604,0
26,1754,260
26,6156,0
26,557,0
26,10791,0
51,7316,0
18,9826,0
36,11784,100
51,3392,0
51,4779,0
26,13793,0
51,1878,83000
18,13450,150
18,5953,0
36,10481,0
51,7438,0
51,533,0
18,6778,0
24,1414,0
26,6424,0
26,483,0
18,8832,0
26,369,0
18,14752,0
51,347,0
26,1932,0
51,3238,0
26,13511,0
26,10878,0
26,559,0
36,15606,0
36,4045,45
45,298,0
51,2857,8600
51,2445,0
26,329,0
51,1740,0
26,12619,25
26,461,63031
51,2321,0
26,489,0
26,593,0
51,1570,87800
51,431,0
51,601,18350
36,7001,0
18,5487,0
51,15229,0
26,428,0
36,15412,0
51,243,0
26,1065,0
51,359,0
26,464,50
18,8382,0
51,310,0
26,1047,0
51,293,0
51,396,0
18,11816,0
18,9309,0
51,320,0
18,1645,212
18,9890,0
51,9003,0
51,507,150
51,11125,0
26,490,0
36,11648,0
18,6379,0
51,383,0
51,581,0
18,15540,0
26,664,0
51,392,0
45,299,7840
26,8270,0
24,267,134000
36,11965,90
26,9144,0
36,9527,0
36,10478,0
51,268,0
18,13801,4342
36,1938,0
51,349,0
18,4187,0
51,5248,400
36,8417,4500
